PRICING_DATE,PX_LAST
2010-06-25,2.575
2010-06-28,2.7
2010-06-29,2.7
2010-06-30,2.5
2010-07-01,2.675
2010-07-02,2.64
2010-07-05,2.6525
2010-07-06,2.62
2010-07-07,2.615
2010-07-08,2.59
2010-07-09,2.57
2010-07-12,2.565
2010-07-13,2.52
2010-07-14,2.5025
2010-07-15,2.5425
2010-07-16,2.55
2010-07-19,2.5225
2010-07-20,2.5375
2010-07-21,2.53
2010-07-22,2.53
2010-07-23,2.55
2010-07-26,2.5525
2010-07-27,2.5425
2010-07-28,2.495
2010-07-29,2.4925
2010-07-30,2.5025
2010-08-02,2.485
2010-08-03,2.5175
2010-08-04,2.4975
2010-08-05,2.4825
2010-08-06,2.4875
2010-08-09,2.48
2010-08-10,2.48
2010-08-11,2.475
2010-08-12,2.4825
2010-08-13,2.4725
2010-08-16,2.4775
2010-08-17,2.53
2010-08-18,2.5275
2010-08-19,2.525
2010-08-20,2.5375
2010-08-23,2.5325
2010-08-24,2.55
2010-08-25,2.53
2010-08-26,2.54
2010-08-27,2.56
2010-08-30,2.565
2010-08-31,2.58
2010-09-01,2.58
2010-09-02,2.58
2010-09-06,2.5825
2010-09-07,2.5925
2010-09-08,2.615
2010-09-09,2.6375
2010-09-10,2.645
2010-09-13,2.6725
2010-09-14,2.6775
2010-09-15,2.67
2010-09-16,2.7925
2010-09-17,2.7875
2010-09-20,2.79
2010-09-21,2.765
2010-09-27,2.7575
2010-09-28,2.69
2010-09-29,2.72
2010-09-30,2.71
2010-10-08,2.7175
2010-10-11,2.705
2010-10-12,2.735
2010-10-13,2.7725
2010-10-14,2.8225
2010-10-15,2.845
2010-10-18,2.8525
2010-10-19,2.8475
2010-10-20,3.1225
2010-10-21,3.155
2010-10-22,3.1675
2010-10-25,3.1625
2010-10-26,3.27
2010-10-27,3.2525
2010-10-28,3.2275
2010-10-29,3.22
2010-11-01,3.24
2010-11-02,3.2725
2010-11-03,3.3425
2010-11-04,3.4
2010-11-05,3.4825
2010-11-08,3.48
2010-11-09,3.41
2010-11-10,3.5775
2010-11-11,3.5575
2010-11-12,3.59
2010-11-15,3.62
2010-11-16,3.67
2010-11-17,3.6425
2010-11-18,3.6275
2010-11-19,3.7075
2010-11-22,3.89
2010-11-23,3.91
2010-11-24,3.94
2010-11-25,4.08
2010-11-26,4.22
2010-11-29,4.18
2010-11-30,4.11
2010-12-01,4.0975
2010-12-02,4.0825
2010-12-03,4.07
2010-12-06,3.9975
2010-12-07,3.9625
2010-12-08,4.04
2010-12-09,4.16
2010-12-10,4.2175
2010-12-13,4.17
2010-12-14,4.2
2010-12-15,4.21
2010-12-16,4.2825
2010-12-17,4.2975
2010-12-20,4.2625
2010-12-21,4.31
2010-12-22,4.3825
2010-12-23,4.43
2010-12-24,4.44
2010-12-27,4.63
2010-12-28,4.66
2010-12-29,4.62
2010-12-30,4.54
2010-12-31,4.5
2011-01-04,4.4325
2011-01-05,4.415
2011-01-06,4.42
2011-01-07,4.38
2011-01-10,4.3475
2011-01-11,4.28
2011-01-12,4.19
2011-01-13,4.28
2011-01-14,4.39
2011-01-17,4.5
2011-01-18,4.61
2011-01-19,4.64
2011-01-20,4.76
2011-01-21,4.855
2011-01-24,4.83
2011-01-25,4.9
2011-01-26,4.88
2011-01-27,5.06
2011-01-28,5.0425
2011-01-31,5.13
2011-02-01,5.085
2011-02-09,5.33
2011-02-10,5.2675
2011-02-11,5.18
2011-02-14,4.925
2011-02-15,4.935
2011-02-16,5.06
2011-02-17,5.035
2011-02-18,5.03
2011-02-21,5.135
2011-02-22,5.1025
2011-02-23,5.05
2011-02-24,5
2011-02-25,4.8975
2011-02-28,4.875
2011-03-01,4.9175
2011-03-02,4.8925
2011-03-03,4.87
2011-03-04,4.83
2011-03-07,4.7675
2011-03-08,4.71
2011-03-09,4.58
2011-03-10,4.605
2011-03-11,4.5925
2011-03-14,4.5175
2011-03-15,4.49
2011-03-16,4.5075
2011-03-17,4.48
2011-03-18,4.65
2011-03-21,4.71
2011-03-22,4.66
2011-03-23,4.59
2011-03-24,4.595
2011-03-25,4.585
2011-03-28,4.5725
2011-03-29,4.5875
2011-03-30,4.5625
2011-03-31,4.63
2011-04-01,4.6625
2011-04-06,4.645
2011-04-07,4.665
2011-04-08,4.6775
2011-04-11,4.67
2011-04-12,4.64
2011-04-13,4.6125
2011-04-14,4.635
2011-04-15,4.6325
2011-04-18,4.6375
2011-04-20,4.64
2011-04-21,4.66
2011-04-22,4.655
2011-04-25,4.68
2011-04-26,4.7
2011-04-27,4.7
2011-04-28,4.7
2011-04-29,4.73
2011-05-03,4.72
2011-05-04,4.72
2011-05-05,4.72
2011-05-06,4.7
2011-05-09,4.7
2011-05-10,4.69
2011-05-11,4.69
2011-05-12,4.69
2011-05-13,4.68
2011-05-16,4.67
