PRICING_DATE,PX_LAST
2010-12-24,0.2881
2010-12-27,0.2831
2010-12-28,0.2901
2010-12-29,0.2646
2010-12-30,0.2606
2010-12-31,0.2561
2011-01-03,0.2551
2011-01-04,0.2616
2011-01-05,0.2886
2011-01-06,0.2921
2011-01-07,0.2611
2011-01-10,0.2476
2011-01-11,0.2576
2011-01-12,0.2546
2011-01-13,0.2471
2011-01-14,0.2491
2011-01-17,0.2471
2011-01-18,0.2471
2011-01-19,0.2381
2011-01-20,0.2521
2011-01-21,0.2486
2011-01-24,0.2506
2011-01-25,0.2461
2011-01-26,0.2476
2011-01-27,0.2291
2011-01-28,0.2261
2011-01-31,0.2326
2011-02-01,0.2441
2011-02-02,0.2611
2011-02-03,0.2711
2011-02-04,0.2836
2011-02-07,0.2881
2011-02-08,0.3096
2011-02-09,0.2981
2011-02-10,0.3011
2011-02-11,0.3011
2011-02-14,0.3016
2011-02-15,0.3041
2011-02-16,0.2941
2011-02-17,0.2726
2011-02-18,0.2631
2011-02-21,0.2541
2011-02-22,0.2571
2011-02-23,0.2486
2011-02-24,0.2471
2011-02-25,0.2444
2011-02-28,0.2381
2011-03-01,0.2346
2011-03-02,0.2451
2011-03-03,0.2661
2011-03-04,0.2421
2011-03-07,0.2451
2011-03-08,0.2561
2011-03-09,0.2476
2011-03-10,0.2381
2011-03-11,0.2416
2011-03-14,0.2351
2011-03-15,0.2316
2011-03-16,0.2261
2011-03-17,0.2371
2011-03-18,0.2421
2011-03-21,0.2551
2011-03-22,0.2621
2011-03-23,0.2601
2011-03-24,0.2751
2011-03-25,0.2861
2011-03-28,0.2911
2011-03-29,0.2941
2011-03-30,0.2861
2011-03-31,0.3001
2011-04-01,0.2806
2011-04-04,0.2626
2011-04-05,0.2956
2011-04-06,0.2941
2011-04-07,0.2796
2011-04-08,0.2826
2011-04-11,0.2946
2011-04-12,0.2676
2011-04-13,0.2661
2011-04-14,0.2881
2011-04-15,0.2576
2011-04-18,0.2541
2011-04-19,0.2501
2011-04-20,0.2556
2011-04-21,0.2581
2011-04-22,0.2601
2011-04-25,0.2561
2011-04-26,0.2491
2011-04-27,0.2521
2011-04-28,0.2486
2011-04-29,0.2421
2011-05-02,0.2406
2011-05-03,0.2431
2011-05-04,0.2266
2011-05-05,0.2316
2011-05-06,0.2231
2011-05-09,0.2156
2011-05-10,0.2266
2011-05-11,0.2176
2011-05-12,0.2181
2011-05-13,0.2191
2011-05-16,0.2141
2011-05-17,0.2121
2011-05-18,0.2261
2011-05-19,0.2131
2011-05-20,0.2091
2011-05-23,0.2141
2011-05-24,0.2221
2011-05-25,0.2156
2011-05-26,0.2081
2011-05-27,0.2011
2011-05-30,0.2011
2011-05-31,0.2101
2011-06-01,0.2041
2011-06-02,0.2151
2011-06-03,0.2061
2011-06-06,0.2071
2011-06-07,0.2121
2011-06-08,0.2096
2011-06-09,0.2111
